Price,Beds,Baths,Sq-ft,Basement,Garage,Rooms,Annual Tax,Style,Year Built,Walkable Score,Bikeable Score,Address,City,Zip
235000,1.0,1.0,975.0,1,0,,7289.0,Condo/Co-op,,33.0,56.0,"2430 Windrow Dr,Princeton, NJ 08540",Princeton, 08540
599000,3.0,2.5,1548.0,1,1,7.0,10110.0,Single Family Residential,1955,57.0,44.0,"18 Barbara Ave,Spotswood, NJ 08884",Spotswood, 08884
579000,3.0,2.0,1360.0,1,1,8.0,10336.0,Single Family Residential,1977,55.0,43.0,"9 Estok Rd,Edison, NJ 08817",Edison, 08817
574900,4.0,2.5,,1,0,,,Single Family Residential,1932,59.0,63.0,"227 Prospect St,South Bound Brook Boro, NJ 08880-1129",South Bound Brook Boro, 08880-1129
769990,3.0,3.0,2731.0,1,0,,,,,5.0,26.0,"18 Fillmore Dr,Monroe Township, NJ 08831",Monroe Township, 08831
700000,3.0,1.0,,0,1,6.0,9425.0,Single Family Residential,1983,43.0,37.0,"40 Netherwood Cir,Edison, NJ 08820",Edison, 08820
289000,2.0,2.0,1216.0,1,0,,3999.0,Single Family Residential,1985,27.0,31.0,"9 Arrowwood Ln,Monmouth Junction, NJ 08852",Monmouth Junction, 08852
449000,3.0,1.5,1638.0,1,0,7.0,6619.0,Single Family Residential,1914,75.0,45.0,"359 John St,South Amboy, NJ 08879",South Amboy, 08879
475000,3.0,1.0,1483.0,1,1,7.0,11195.0,Single Family Residential,1959,61.0,44.0,"195 S Moetz Dr S,Milltown, NJ 08850",Milltown, 08850
358150,2.0,2.5,1842.0,0,1,6.0,4199.0,Single Family Residential,,36.0,37.0,"27 Rutland Ln Unit A,Monroe, NJ 08831",Monroe, 08831
315000,3.0,2.0,1422.0,1,0,,5304.0,Condo/Co-op,1980,14.0,27.0,"1722 Country Mill Dr,Cranbury, NJ 08512",Cranbury, 08512
710000,3.0,2.5,,1,1,,3766.0,Single Family Residential,,7.0,45.0,"42 Riverwalk,Plainsboro, NJ 08536",Plainsboro, 08536
225000,2.0,1.0,797.0,1,0,5.0,3919.0,Single Family Residential,1939,45.0,46.0,"812 Summerfield Ave,South Amboy, NJ 08879",South Amboy, 08879
